logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Alto da Colina,,Pajuçara,Natal,RN,59133-092,-35.23334931006237,-5.72929188337806
Rua Alto da Conceição,,Redinha,Natal,RN,59122-205,-35.212464926397644,-5.740319965751986
Rua Alto da Floresta,,Redinha,Natal,RN,59122-274,-35.23414492850851,-5.756484968940022
Rua Alto da Glória,,Nossa Senhora da Apresentação,Natal,RN,59115-200,-35.28283485335244,-5.761051899559652
Rua Alto da Graça,,Pajuçara,Natal,RN,59132-650,-35.245234898871374,-5.7348949465597485
Rua Alto da Liberdade,,Redinha,Natal,RN,59122-036,-35.23466852075573,-5.753107250192114
Rua Alto da Roseira,,Pajuçara,Natal,RN,59123-300,-35.23708492295681,-5.745829956487675
Travessa Alto da Roseira,,Pajuçara,Natal,RN,59123-325,-35.212464926397644,-5.740319965751986
Rua Alto da Serra,,Pitimbu,Natal,RN,59068-740,-35.23363991884219,-5.856249963797751
Rua Alto da Torre,,Redinha,Natal,RN,59122-044,-35.23372870167536,-5.75424635650787
Rua Alto das Dunas,,Redinha,Natal,RN,59122-039,-35.234639921800536,-5.753844941851611
Rua Alto do Miramar,,Redinha,Natal,RN,59122-038,-35.23505077419084,-5.753880504353693
Travessa Alto do Monte,,Planalto,Natal,RN,59073-214,-35.252644920373626,-5.849914963287262
Rua Alto dos Coqueiros,,Nossa Senhora da Apresentação,Natal,RN,59115-210,-35.283434919679266,-5.761304961406303
Rua Aluízio Alves,,Mãe Luiza,Natal,RN,59014-320,-35.18983968020519,-5.792469740651926
Rua Aluízio Alves,,Nordeste,Natal,RN,59042-270,-35.24607489129811,-5.795204961111395
Travessa Aluízio Alves,,Mãe Luiza,Natal,RN,59014-325,-35.18970676908939,-5.791674108631222
Rua Aluízio Bezerra,,Lagoa Nova,Natal,RN,59056-170,-35.20788024966474,-5.815850766725046
Vila Aluízio,,Quintas,Natal,RN,59050-123,-35.232399999999984,-5.802709999999934
Rua Alverca,,Nordeste,Natal,RN,59042-370,-35.24487093146718,-5.795662968142265
Travessa Alverca,,Nordeste,Natal,RN,59042-372,-35.24438991921227,-5.795084974167445
Vila Alves,,Alecrim,Natal,RN,59037-012,-35.21515991781612,-5.803014946078427
Vila Alves,,Quintas,Natal,RN,59035-149,-35.21515991781612,-5.803014946078427
1ª Travessa Alvorada,,Igapó,Natal,RN,59104-213,-35.254762159413644,-5.773657503678267
2ª Travessa Alvorada,,Igapó,Natal,RN,59104-215,-35.25472749387038,-5.773547724615011
Rua Alvorada,,Igapó,Natal,RN,59104-210,-35.26057464881526,-5.77179489352788
Rua Alvorada,,Pajuçara,Natal,RN,59123-343,-35.248515221032335,-5.721345504766529
Vila Alvorada,,Igapó,Natal,RN,59104-216,-35.26057464881526,-5.77179489352788
Rua Alvorada de Minas,,Neópolis,Natal,RN,59084-040,-35.199489907920125,-5.867869942853169
Rua Alvorada do Norte,,Nossa Senhora da Apresentação,Natal,RN,59115-230,-35.28454275616599,-5.761334337027133
Rua Alvorecer,,Nossa Senhora da Apresentação,Natal,RN,59114-179,-35.2814266241732,-5.736645748030148
Avenida Alzira Dias de Araújo,,Lagoa Azul,Natal,RN,59139-522,-35.27751999999998,-5.7226499999999305
Rua Alzira Soriano,,Lagoa Seca,Natal,RN,59022-320,-35.210754892421306,-5.808964944821298
Rua Alziro Zaruh,,Planalto,Natal,RN,59073-072,-35.24530492967243,-5.841039973702763
Rua Alípio Bandeira,,Quintas,Natal,RN,59035-040,-35.235123008290664,-5.798627278020575
Travessa Alípio Bandeira,,Quintas,Natal,RN,59035-045,-35.235123008290664,-5.798627278020575
Rua Amambaí,,Neópolis,Natal,RN,59080-430,-35.210954926540595,-5.857069965385399
Rua Amanari,,Pitimbu,Natal,RN,59069-190,-35.24334989266626,-5.8444749614430975
Travessa Amandy,,Pajuçara,Natal,RN,59123-012,-35.236819999999966,-5.736699999999928
Travessa Amapolas,,Capim Macio,Natal,RN,59078-152,-35.2070399072054,-5.843704957907882
Rua Amapá,,Neópolis,Natal,RN,59080-130,-35.2095599263951,-5.85486495907179
Rua Amariles,,Nossa Senhora da Apresentação,Natal,RN,59115-430,-35.262904914684086,-5.748659959411562
Rua Amaro Barreto,,Alecrim,Natal,RN,59031-450,-35.2167357071178,-5.794290834744188
Rua Amaro Barreto,,Alecrim,Natal,RN,59040-450,-35.2167357071178,-5.794290834744188
Rua Amaro Ienaga,,Pajuçara,Natal,RN,59125-355,-35.22897217363878,-5.746416589471236
Rua Amaro Lúcio,,Lagoa Nova,Natal,RN,59054-730,-35.213534918247504,-5.813524951605835
Rua Amaro Mesquita,,Lagoa Nova,Natal,RN,59056-270,-35.20257486631783,-5.814474977821839
Rua Amazonas,,Neópolis,Natal,RN,59080-120,-35.210189810110954,-5.854899603178567
Travessa Amazônia,,Nossa Senhora da Apresentação,Natal,RN,59114-033,-35.276539882308114,-5.755504956820744
Avenida Amintas Barros,481,Bom Pastor,Natal,RN,59062-250,-35.23631606427601,-5.810286140956993
Avenida Amintas Barros,4427,Nova Descoberta,Natal,RN,59075-250,-35.200144400368124,-5.82390299659292
Avenida Amintas Barros,2272,Lagoa Nova,Natal,RN,59062-350,-35.220924618570464,-5.816182782833694
Avenida Amintas Barros,2271,Lagoa Nova,Natal,RN,59054-465,-35.211155751558024,-5.819659630934908
Avenida Amintas Barros,2893,Lagoa Nova,Natal,RN,59054-830,-35.21125511282719,-5.819621939702023
Avenida Amintas Barros,2894,Lagoa Nova,Natal,RN,59063-350,-35.211255272572,-5.819621879105185
Avenida Amintas Barros,3513,Lagoa Nova,Natal,RN,59056-215,-35.20819044296276,-5.820765793410273
Avenida Amintas Barros,3514,Lagoa Nova,Natal,RN,59075-810,-35.210521439042076,-5.82014570583005
Avenida Amintas Barros,4129,Lagoa Nova,Natal,RN,59056-265,-35.20556724676618,-5.821823043598918
Avenida Amintas Barros,4130,Lagoa Nova,Natal,RN,59075-015,-35.20563685038832,-5.821919171375449
Avenida Amintas Barros,1215,Dix-Sept Rosado,Natal,RN,59054-145,-35.22894430876707,-5.813086179992919
Avenida Amintas Barros,1216,Nossa Senhora de Nazaré,Natal,RN,59062-195,-35.22869934828677,-5.813298077823557
Travessa Amintas Barros,,Bom Pastor,Natal,RN,59062-255,-35.23464490903291,-5.811569956509196
Travessa Amintas Barros,,Bom Pastor,Natal,RN,59060-250,-35.23464490903291,-5.811569956509196
Travessa Amintas Barros,,Lagoa Nova,Natal,RN,59054-475,-35.216237035156155,-5.817092577818235
Travessa Amintas Barros,,Nossa Senhora de Nazaré,Natal,RN,59062-198,-35.23464490903291,-5.811569956509196
Vila Amintas Barros,,Nova Descoberta,Natal,RN,59075-255,-35.198749703765024,-5.82475739135014
Rua Amparo da Serra,,Neópolis,Natal,RN,59084-050,-35.199044912680534,-5.868249957388386
Rua Ampére,,Potengi,Natal,RN,59124-680,-35.241644887831825,-5.750944950036214
Vila Amália Dantas,,Tirol,Natal,RN,59022-160,-35.200729999999965,-5.8005699999999365
Rua Amália Nascimento,,Ponta Negra,Natal,RN,59090-657,-35.1727410542987,-5.8842038516958475
Avenida Amélia Cristina,,Lagoa Azul,Natal,RN,59139-410,-35.26927266049751,-5.727832644501245
Rua Amélia Machado,,Candelária,Natal,RN,59066-480,-35.23650123494483,-5.8094558434392365
Rua Américo Soares Wanderley,,Capim Macio,Natal,RN,59082-060,-35.202570016299624,-5.85836687772066
Travessa Américo Vespúcio,,Alecrim,Natal,RN,59037-050,-35.22412989531837,-5.796499965152002
Rua Ana Angelina de Macedo,,Candelária,Natal,RN,59065-120,-35.21751992647421,-5.8380049703819665
Travessa Ana Beatriz,,Nossa Senhora da Apresentação,Natal,RN,59114-061,-35.265584902495874,-5.759029966201183
Travessa Ana Cecília,,Nossa Senhora da Apresentação,Natal,RN,59115-539,-35.27516990214362,-5.746179963809524
Rua Ana Maria Cortez,,Nossa Senhora da Apresentação,Natal,RN,59114-007,-35.273454922844394,-5.748234975965808
Travessa Ana Maria,,Alecrim,Natal,RN,59037-040,-35.22245992683921,-5.799904945678968
Rua Ana Medeiros,,Barro Vermelho,Natal,RN,59030-340,-35.20949335452969,-5.7946543651568465
Rua Ana Nogueira de Macedo,,Nossa Senhora da Apresentação,Natal,RN,59114-005,-35.27401994693746,-5.746159972970446
Rua Ana Néri,339,Petrópolis,Natal,RN,59012-230,-35.199949990585424,-5.7819399916482865
Rua Ana Néri,341,Petrópolis,Natal,RN,59020-040,-35.200000030547386,-5.782089985805612
Vila Ana Néri,,Alecrim,Natal,RN,59037-220,-35.2001998970286,-5.78224494624056
Rua Ana Paula Barbosa,,Guarapes,Natal,RN,59074-846,-35.281559999999956,-5.836029999999937
Rua Ana Porto,,Ponta Negra,Natal,RN,59090-010,-35.181894910140855,-5.866254959658839
Rua Ana Santana,,Ponta Negra,Natal,RN,59090-655,-35.17378956773248,-5.884342996153447
Travessa Ana Tereza,,Nossa Senhora da Apresentação,Natal,RN,59114-531,-35.28711999999996,-5.727389999999957
Rua Anacleto Duarte,,Felipe Camarão,Natal,RN,59072-772,-35.24994494172276,-5.832109956923922
Rua Analândia,,Pitimbu,Natal,RN,59069-180,-35.243599924837994,-5.844984958341804
