logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Alfredo Pegado Cortez,,Candelária,Natal,RN,59066-080,-35.21879440000001,-5.849912199999999
Travessa Alicante,,Felipe Camarão,Natal,RN,59074-396,-35.265969399999996,-5.822195
Rua Alice Azevedo,,Capim Macio,Natal,RN,59080-015,-35.2094434,-5.8534625
Rua Alice Câmara,,Planalto,Natal,RN,59073-077,-35.250859600000005,-5.8439489999999985
Rua Aline Veríssimo,,Lagoa Azul,Natal,RN,59139-625,-35.2746395,-5.726034400000001
Rua Almeida Castro,,Tirol,Natal,RN,59015-060,-35.1979585,-5.7997989
Travessa Almeida,,Ponta Negra,Natal,RN,59090-618,-35.1786552,-5.876245900000001
Vila Almeida,,Quintas,Natal,RN,59035-220,-35.2234916,-5.8062032
Rua Almino Afonso,,Ribeira,Natal,RN,59012-010,-35.2032237,-5.7754325999999985
Vila Almir,,Alecrim,Natal,RN,59037-155,-35.217594399999996,-5.797869400000001
2ª Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-356,-35.2138414,-5.7959081
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-350,-35.212907799999996,-5.7992390999999985
Avenida Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59031-350,-35.212907799999996,-5.7992390999999985
Avenida Almirante Alexandrino de Alencar,,Lagoa Seca,Natal,RN,59022-350,-35.2095216,-5.803682999999999
Avenida Almirante Alexandrino de Alencar,,Tirol,Natal,RN,59015-350,-35.2027089,-5.80753
Avenida Almirante Alexandrino de Alencar,,Barro Vermelho,Natal,RN,59030-660,-35.2098776,-5.8032704000000015
Travessa Almirante Alexandrino de Alencar,,Alecrim,Natal,RN,59030-355,-35.2138414,-5.7959081
Rua Almirante Aristides Guilhem,,Alecrim,Natal,RN,59040-140,-35.217314200000004,-5.7917296999999985
Rua Almirante Barroso,,Praia do Meio,Natal,RN,59010-110,-35.1967337,-5.779252200000001
Praça Almirante Gonçalves,,Alecrim,Natal,RN,59037-080,-35.224993700000006,-5.797459600000002
Praça Almirante Isaías de Noronha,,Alecrim,Natal,RN,59040-170,-35.217594399999996,-5.797869400000001
Praça Almirante Marquês de Tamandaré,,Alecrim,Natal,RN,59030-020,-35.2096472,-5.792032900000001
Rua Almirante Nelson Fernandes,,Barro Vermelho,Natal,RN,59022-600,-35.205671200000005,-5.802266400000001
Rua Almirante Tamandaré,,Lagoa Nova,Natal,RN,59054-560,-35.217454700000005,-5.8120237
Travessa Almirante Tamandaré,,Lagoa Nova,Natal,RN,59054-565,-35.217454700000005,-5.8120237
Rua Almirante Teotônio Carvalho,,Tirol,Natal,RN,59015-100,-35.198915299999996,-5.7989741
Rua Almirante Tértius Rebelo,,Lagoa Nova,Natal,RN,59054-520,-35.2186975,-5.8153483
Rua Alonso de Almeida,,Barro Vermelho,Natal,RN,59030-230,-35.208253799999994,-5.7932875
Travessa Alpina,,Nossa Senhora da Apresentação,Natal,RN,59115-601,-35.2752715,-5.7430314000000005
Rua Alpinópolis,,Pitimbu,Natal,RN,59069-210,-35.243104200000005,-5.8439991
Rua Altamira,,Praia do Meio,Natal,RN,59010-120,-35.198534,-5.7796325
Travessa Altamira,,Praia do Meio,Natal,RN,59010-125,-35.1971395,-5.7788163
Rua Altamiro Bastos,,Redinha,Natal,RN,59122-272,-35.2341642,-5.7551923999999985
Rua Altamiro Lopes,,Pajuçara,Natal,RN,59123-023,-35.2377045,-5.7489352
Rua Altaneira,2717.0,Potengi,Natal,RN,59112-600,-35.258723700000004,-5.7574478
Rua Altaneira,2719.0,Potengi,Natal,RN,59110-600,-35.258700299999994,-5.757419400000001
Rua Altemar Dutra,,Ponta Negra,Natal,RN,59090-177,-35.174949299999994,-5.8782504
Rua Alterosa,,Ponta Negra,Natal,RN,59091-070,-35.1997529,-5.872908700000001
Rua Alterosa,,Neópolis,Natal,RN,59084-460,-35.1997529,-5.872908700000001
Rua Altinópolis,,Pajuçara,Natal,RN,59131-260,-35.2450125,-5.727086
Avenida Alto Monte Belo,,Neópolis,Natal,RN,59086-375,-35.2160536,-5.8686840999999985
Rua Alto Paraná,,Potengi,Natal,RN,59124-270,-35.2502795,-5.7436468000000005
Rua Alto Pequiri,,Potengi,Natal,RN,59124-450,-35.2421075,-5.7499455
Rua Alto da Bacia,,Mãe Luiza,Natal,RN,59014-360,-35.18768920000001,-5.7938087
Rua Alto da Bela Vista,,Nordeste,Natal,RN,59042-250,-35.242465,-5.7974638
Travessa Alto da Bela Vista,,Nordeste,Natal,RN,59042-251,-35.242465,-5.7974638
Rua Alto da Boa Vista,,Ponta Negra,Natal,RN,59090-310,-35.1699598,-5.8884539999999985
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-305,-35.24720739999999,-5.7397190999999985
Rua Alto da Boa Vista,,Pajuçara,Natal,RN,59123-515,-35.24720739999999,-5.7397190999999985
Travessa Alto da Boa Vista,,Ponta Negra,Natal,RN,59090-309,-35.1699598,-5.8884539999999985
Rua Alto da Colina,,Mãe Luiza,Natal,RN,59014-440,-35.189713299999994,-5.7953408
Rua Alto da Colina,,Pajuçara,Natal,RN,59133-092,-35.23283,-5.728610400000001
Rua Alto da Conceição,,Redinha,Natal,RN,59122-205,-35.2126071,-5.740609200000001
Rua Alto da Floresta,,Redinha,Natal,RN,59122-274,-35.234102,-5.756489699999999
Rua Alto da Glória,,Nossa Senhora da Apresentação,Natal,RN,59115-200,-35.2828486,-5.7610233
Rua Alto da Graça,,Pajuçara,Natal,RN,59132-650,-35.2451824,-5.7349307000000005
Rua Alto da Liberdade,,Redinha,Natal,RN,59122-036,-35.2345803,-5.7530497999999985
Rua Alto da Roseira,,Pajuçara,Natal,RN,59123-300,-35.256773200000005,-5.7627713
Travessa Alto da Roseira,,Pajuçara,Natal,RN,59123-325,-35.2812401,-5.7706599
Rua Alto da Serra,,Pitimbu,Natal,RN,59068-740,-35.233632899999996,-5.8562683999999985
Rua Alto da Torre,,Redinha,Natal,RN,59122-044,-35.2338344,-5.754226999999998
Rua Alto das Dunas,,Redinha,Natal,RN,59122-039,-35.234382000000004,-5.753375399999999
Rua Alto do Miramar,,Redinha,Natal,RN,59122-038,-35.2352248,-5.753644400000001
Travessa Alto do Monte,,Planalto,Natal,RN,59073-214,-35.225879600000006,-5.799870200000001
Rua Alto dos Coqueiros,,Nossa Senhora da Apresentação,Natal,RN,59115-210,-35.283418700000006,-5.7613114
Rua Aluízio Alves,,Mãe Luiza,Natal,RN,59014-320,-35.1897723,-5.7923692
Rua Aluízio Alves,,Nordeste,Natal,RN,59042-270,-35.2441763,-5.799981099999999
Travessa Aluízio Alves,,Mãe Luiza,Natal,RN,59014-325,-35.1896989,-5.7916715
Rua Aluízio Bezerra,,Lagoa Nova,Natal,RN,59056-170,-35.2079371,-5.8158376999999986
Vila Aluízio,,Quintas,Natal,RN,59050-123,-35.2234916,-5.8062032
Rua Alverca,,Nordeste,Natal,RN,59042-370,-35.244871200000006,-5.7957015
Travessa Alverca,,Nordeste,Natal,RN,59042-372,-35.2443716,-5.7950905
Vila Alves,,Alecrim,Natal,RN,59037-012,-35.2152818,-5.8030933
Vila Alves,,Quintas,Natal,RN,59035-149,-35.2152818,-5.8030933
1ª Travessa Alvorada,,Igapó,Natal,RN,59104-213,-35.2557671,-5.773857
2ª Travessa Alvorada,,Igapó,Natal,RN,59104-215,-35.25672120000001,-5.773539599999999
Rua Alvorada,,Igapó,Natal,RN,59104-210,-35.2608245,-5.771722599999999
Rua Alvorada,,Pajuçara,Natal,RN,59123-343,-35.2394382,-5.744742700000001
Vila Alvorada,,Igapó,Natal,RN,59104-216,-35.2608245,-5.771722599999999
Rua Alvorada de Minas,,Neópolis,Natal,RN,59084-040,-35.2608245,-5.771722599999999
Rua Alvorada do Norte,,Nossa Senhora da Apresentação,Natal,RN,59115-230,-35.2837516,-5.7617705
Rua Alvorecer,,Nossa Senhora da Apresentação,Natal,RN,59114-179,-35.2814412,-5.736804999999999
Avenida Alzira Dias de Araújo,,Lagoa Azul,Natal,RN,59139-522,-35.2721881,-5.7254330000000015
Rua Alzira Soriano,,Lagoa Seca,Natal,RN,59022-320,-35.2107524,-5.8089596
Rua Alziro Zaruh,,Planalto,Natal,RN,59073-072,-35.2453221,-5.841078400000001
Rua Alípio Bandeira,,Quintas,Natal,RN,59035-040,-35.235077200000006,-5.7986153
Travessa Alípio Bandeira,,Quintas,Natal,RN,59035-045,-35.235077200000006,-5.7986153
Rua Amambaí,,Neópolis,Natal,RN,59080-430,-35.21116,-5.8577693
Rua Amanari,,Pitimbu,Natal,RN,59069-190,-35.243344799999996,-5.844487
Travessa Amandy,,Pajuçara,Natal,RN,59123-012,-35.2812401,-5.7706599
Travessa Amapolas,,Capim Macio,Natal,RN,59078-152,-35.2060635,-5.842918599999999
Rua Amapá,,Neópolis,Natal,RN,59080-130,-35.209548,-5.854877
Rua Amariles,,Nossa Senhora da Apresentação,Natal,RN,59115-430,-35.26289939999999,-5.748680999999999
Rua Amaro Barreto,,Alecrim,Natal,RN,59031-450,-35.2185156,-5.795114600000002
Rua Amaro Barreto,,Alecrim,Natal,RN,59040-450,-35.2185156,-5.795114600000002
Rua Amaro Ienaga,,Pajuçara,Natal,RN,59125-355,-35.241729,-5.7383891
Rua Amaro Lúcio,,Lagoa Nova,Natal,RN,59054-730,-35.2130156,-5.8136987
