logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Cronista Salatiel de Vasconcelos Silva,,Pajuçara,Natal,RN,59132-155,-35.2370971,-5.7311508
Rua Cruz Alta,,Cidade da Esperança,Natal,RN,59071-430,-35.24001,-5.8217161
Rua Cruz de Malta,,Nossa Senhora da Apresentação,Natal,RN,59115-070,-35.2814486,-5.7571732
Rua Cruz e Souza,,Candelária,Natal,RN,59065-530,-35.2217578,-5.8371859
Rua Cruzeiro do Oeste,,Potengi,Natal,RN,59124-370,-35.2488279,-5.7463652
Rua Cruzeiro do Sul,,Felipe Camarão,Natal,RN,59072-285,-35.249444,-5.8189436
Rua Cubatão,,Potengi,Natal,RN,59129-380,-35.259159,-5.7445013
Rua Cumaru,,Pitimbu,Natal,RN,59067-520,-35.2311855,-5.8665692
Rua Cunha Porã,,Potengi,Natal,RN,59112-380,-35.2616664,-5.7511155
Rua Curimatã,,Ponta Negra,Natal,RN,59090-380,-35.175981,-5.8835829
Rua Curitiba,,Potengi,Natal,RN,59124-440,-35.2422652,-5.7510466
Rua Curitibanos,,Potengi,Natal,RN,59112-420,-35.2602125,-5.7509875
Rua Currais Novos,,Lagoa Seca,Natal,RN,59031-110,-35.2121857,-5.8062529
Rua Curvelo,,Neópolis,Natal,RN,59084-370,-35.2008338,-5.8689264
Rua Cussy de Almeida,,Ribeira,Natal,RN,59012-450,-35.2032159,-5.7813656
Rua Cássia,,Potengi,Natal,RN,59112-540,-35.2606463,-5.7541433
Avenida Câmara Cascudo,,Cidade Alta,Natal,RN,59025-280,-35.2060756,-5.7812199
Rua Câmara,,Nordeste,Natal,RN,59042-530,-35.2461838,-5.7949596
Travessa Cândida,,Pajuçara,Natal,RN,59123-577,-35.246674,-5.7388849
Rua Cândido Medeiros,,Redinha,Natal,RN,59122-310,-35.2235523,-5.7506241
Rua Cândido Portinari,,Redinha,Natal,RN,59122-455,-35.227725,-5.7478168
Rua Célio Petrovich,,Quintas,Natal,RN,59050-060,-35.2369845,-5.8030371
Rua Céu Azul,,Potengi,Natal,RN,59124-310,-35.2507335,-5.740625
Rua Cícera Cruz,,Nossa Senhora da Apresentação,Natal,RN,59114-841,-35.2769343,-5.7650605
Rua Cícero Bucha,,Redinha,Natal,RN,59122-110,-35.2062011,-5.7464187
Rua Cícero Dantas,,Neópolis,Natal,RN,59084-720,-35.2019456,-5.8696824
Rua Cícero Mendonça,,Alecrim,Natal,RN,59032-130,-35.2169619,-5.8037229
Rua Cícero Pinheiro,,Nossa Senhora da Apresentação,Natal,RN,59114-092,-35.2679392,-5.7568168
