logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua do Anequim,,Pajuçara,Natal,RN,59132-450,-35.2377208,-5.735881200000001
Rua do Antimônio,,Lagoa Nova,Natal,RN,59076-550,-35.20608729999999,-5.8320316
Rua do Areial,,Rocas,Natal,RN,59010-130,-35.1976011,-5.7774057
Rua do Açúcar,,Lagoa Azul,Natal,RN,59139-250,-35.2645348,-5.7327561
Rua do Badejo,,Pajuçara,Natal,RN,59132-500,-35.2389224,-5.737617299999999
Rua do Bagre,,Pajuçara,Natal,RN,59132-460,-35.2374083,-5.7360734
Avenida do Baião,,Lagoa Azul,Natal,RN,59135-200,-35.2556232,-5.7329696
Rua do Bambelô,,Lagoa Azul,Natal,RN,59139-160,-35.261668900000004,-5.728842299999999
Rua do Basalto,,Lagoa Nova,Natal,RN,59076-280,-35.2049756,-5.8284614
Rua do Berilo,,Lagoa Nova,Natal,RN,59076-410,-35.2050232,-5.8299131
Rua do Betume,,Lagoa Nova,Natal,RN,59076-270,-35.205701899999994,-5.830186599999999
Rua do Boi Barroso,,Lagoa Azul,Natal,RN,59138-270,-35.262268299999995,-5.7364123
Rua do Boi Calemba,,Lagoa Azul,Natal,RN,59138-260,-35.2628745,-5.736533799999999
Rua do Boi Espácio,,Lagoa Azul,Natal,RN,59138-290,-35.2615026,-5.7373731
Rua do Boi Misterioso,,Lagoa Azul,Natal,RN,59138-310,-35.2612156,-5.737088900000001
Rua do Boi Pintadinho,,Lagoa Azul,Natal,RN,59138-320,-35.260919200000004,-5.7367519
Rua do Boi Surubim,,Lagoa Azul,Natal,RN,59138-280,-35.262727000000005,-5.7371583
Rua do Boi Tatá,,Lagoa Azul,Natal,RN,59139-050,-35.2632433,-5.730501
Rua do Bom Barquinho,,Lagoa Azul,Natal,RN,59138-230,-35.2631964,-5.7353248
Rua do Brilhante,,Lagoa Nova,Natal,RN,59076-105,-35.2089547,-5.830655
Rua do Buzi,,Lagoa Azul,Natal,RN,59138-180,-35.2665062,-5.7332525
Rua do Bálsamo,,Lagoa Azul,Natal,RN,59135-130,-35.2556232,-5.7329696
Rua do Cajueiro,,Potengi,Natal,RN,59120-690,-35.2393368,-5.7559337
Rua do Calcário,,Lagoa Nova,Natal,RN,59076-240,-35.206011100000005,-5.8293085
1ª Travessa do Campo,,Redinha,Natal,RN,59122-081,-35.2053284,-5.747907
1ª Travessa do Campo,,Lagoa Azul,Natal,RN,59135-708,-35.2536075,-5.7274625
2ª Travessa do Campo,,Redinha,Natal,RN,59122-082,-35.2053284,-5.747907
Rua do Campo,,Mãe Luiza,Natal,RN,59014-317,-35.1862881,-5.7955559999999995
Rua do Campo,,Redinha,Natal,RN,59122-080,-35.2061253,-5.7470411
Rua do Camurupim,,Pajuçara,Natal,RN,59132-390,-35.234594,-5.7329629
Rua do Cara-Cara,,Lagoa Azul,Natal,RN,59139-120,-35.2619103,-5.729215900000001
Rua do Carbono,,Lagoa Nova,Natal,RN,59076-160,-35.208170200000005,-5.82795
Travessa do Carioca,,Lagoa Azul,Natal,RN,59129-316,-35.2560221,-5.736081400000001
Rua do Carvalho,,Pitimbu,Natal,RN,59067-640,-35.224672399999996,-5.870611
Rua do Catetinho,,Pajuçara,Natal,RN,59122-370,-35.2369374,-5.751233099999999
Rua do Caulim,,Lagoa Nova,Natal,RN,59076-130,-35.2077417,-5.8290927
Rua do Cavaco Chinês,,Lagoa Azul,Natal,RN,59138-170,-35.266735600000004,-5.7336288
Rua do Cação,,Pajuçara,Natal,RN,59132-290,-35.235797600000005,-5.730012599999999
Rua do Cearense,,Pajuçara,Natal,RN,59123-025,-35.238793900000005,-5.7483358
Rua do Chumbo,,Lagoa Nova,Natal,RN,59076-180,-35.2075377,-5.827532700000001
Rua do Cobre,,Lagoa Nova,Natal,RN,59076-210,-35.205981,-5.827519000000001
Rua do Coco-de-Roda,,Lagoa Azul,Natal,RN,59138-560,-35.2577005,-5.731919400000001
Rua do Condor,,Pitimbu,Natal,RN,59067-420,-35.229237899999994,-5.8727908
