cep,logradouro,complemento,bairro,cidade,estado,longitude,latitude
59065-120,Rua Ana Angelina de Macedo,,Candelária,Natal,RN,,
59114-061,Travessa Ana Beatriz,,Nossa Senhora da Apresentação,Natal,RN,,
59115-539,Travessa Ana Cecília,,Nossa Senhora da Apresentação,Natal,RN,,
59114-007,Rua Ana Maria Cortez,,Nossa Senhora da Apresentação,Natal,RN,,
59037-040,Travessa Ana Maria,,Alecrim,Natal,RN,,
59030-340,Rua Ana Medeiros,,Barro Vermelho,Natal,RN,,
59114-005,Rua Ana Nogueira de Macedo,,Nossa Senhora da Apresentação,Natal,RN,,
59012-230,Rua Ana Néri,339,Petrópolis,Natal,RN,,
59020-040,Rua Ana Néri,341,Petrópolis,Natal,RN,,
59037-220,Vila Ana Néri,,Alecrim,Natal,RN,,
59074-846,Rua Ana Paula Barbosa,,Guarapes,Natal,RN,,
59090-010,Rua Ana Porto,,Ponta Negra,Natal,RN,,
59090-655,Rua Ana Santana,,Ponta Negra,Natal,RN,,
59114-531,Travessa Ana Tereza,,Nossa Senhora da Apresentação,Natal,RN,,
59072-772,Rua Anacleto Duarte,,Felipe Camarão,Natal,RN,,
59069-180,Rua Analândia,,Pitimbu,Natal,RN,,
59114-030,Rua Ananias Xavier de Souza,,Nossa Senhora da Apresentação,Natal,RN,,
59073-224,Rua Anatália de Melo Alves,,Planalto,Natal,RN,,
59132-640,Rua Andaluzia,,Pajuçara,Natal,RN,,
59066-100,Rua Anderson de Abreu,,Candelária,Natal,RN,,
59035-026,Vila Andrade,,Quintas,Natal,RN,,
59084-150,Rua Andrelândia,,Neópolis,Natal,RN,,
59114-181,Rua André Matias,,Nossa Senhora da Apresentação,Natal,RN,,
59025-580,Praça André de Albuquerque,,Cidade Alta,Natal,RN,,
59075-030,Rua Anfilóquio Paiva Câmara,,Lagoa Nova,Natal,RN,,
59136-040,Rua Angatuba,,Lagoa Azul,Natal,RN,,
59112-330,Rua Angelina,,Potengi,Natal,RN,,
59063-330,Rua Angicos,,Lagoa Nova,Natal,RN,,
59073-018,Travessa Angola,,Planalto,Natal,RN,,
59127-321,1ª Travessa Angra dos Reis,,Potengi,Natal,RN,,
59127-320,Rua Angra dos Reis,,Potengi,Natal,RN,,
59110-620,Rua Angra dos Reis,,Potengi,Natal,RN,,
59032-572,Travessa Angélica,,Alecrim,Natal,RN,,
