cep,udh
59091-130,1240810200016
59065-680,1240810200022
59144-544,
59073-249,1240810200042
59125-330,1240810200059
59131-020,1240810200059
59148-900,1240325100012
58158-000,
59110-110,1240810200053
59122-487,1240810200058
59960-000,
59152-543,1240325100021
59150-440,1240325100021
59618-740,
59014-013,1240810200002
59067-690,1240810200019
59032-010,1240810200031
59148-520,1240325100012
59070-330,1240810200041
59037-360,1240810200031
59042-270,1240810200045
59014-270,1240810200002
59293-414,1241200500017
59064-630,1240810200020
59054-130,1240810200041
59040-290,1240810200031
59108-120,1240810200053
59074-125,1240810200049
59050-100,1240810200046
59123-575,1240810200008
59067-510,1240810200019
59025-800,1240810200023
59141-255,1240325100029
59144-660,1240325100029
59037-670,1240810200031
59032-130,1240810200031
59114-136,1240810200005
59620-060,
59291-550,1241200500015
59054-250,1240810200041
59060-280,1240810200041
59072-250,1240810200049
59146-020,1240325100019
59155-220,1240325100015
59056-270,1240810200020
59073-216,1240810200048
59062-137,1240810200046
59151-600,1240325100021
59108-450,1240810200053
59555-000,
59025-001,1240810200033
59631-350,
59148-300,1240325100012
59095-162,
59075-200,1240810200020
59122-405,1240810200058
59020-160,1240810200001
59146-120,1240325100019
59072-780,1240810200041
59633-550,
59614-300,
59139-420,1240810200004
59120-460,1240810200053
59106-029,1240810200056
59054-470,1240810200020
59145-770,1240325100025
59152-820,1240325100021
59040-120,1240810200035
59140-505,1240325100004
59074-368,1240810200049
59060-300,1240810200041
59140-790,1240325100009
59634-035,
59064-720,1240810200021
59090-021,
59145-300,1240325100025
59010-470,1240810200030
59151-427,1240325100021
59132-690,1240810200059
59129-180,1240810200053
59072-475,1240810200049
59073-290,1240810200042
59296-641,1241200500006
59151-710,1240325100008
59015-300,1240810200001
59270-970,
59074-325,1240810200056
59633-818,
59607-290,
59063-630,1240810200020
59150-160,1240325100021
59074-130,1240810200049
59940-000,
59152-020,1240325100008
59115-557,1240810200056
59296-473,1241200500006
59616-706,
59625-490,
59296-623,1241200500001
59621-460,
59073-166,1240810200042
59132-280,1240810200059
59035-130,1240810200045
59621-644,
59141-535,1240325100029
59067-430,1240810200019
59025-330,1240810200035
59871-280,
59120-450,1240810200053
59294-489,1241200500017
59905-000,
59071-020,1240810200041
59680-000,
59068-730,1240810200019
59115-260,1240810200055
59072-812,1240810200041
59010-490,1240810200028
59073-179,1240810200042
59628-110,
59042-070,1240810200046
59115-573,1240810200056
