logradouro,complemento,bairro,cidade,estado,cep,longitude,latitude
Rua Tenente-Coronel Muniz de Aragão,,Tirol,Natal,RN,59015-190,-35.1984091,-5.8079898
Travessa Tenerife,,Felipe Camarão,Natal,RN,59074-321,-35.2659694,-5.822195
Vila Teodoro de Paiva,,Quintas,Natal,RN,59052-490,-35.2253439,-5.8070414
Travessa Teodósia,,Planalto,Natal,RN,59073-020,35.382433,45.031933
Vila Teodósio,,Quintas,Natal,RN,59050-106,-35.2340777,-5.7966998
Rua Teofilândia,,Neópolis,Natal,RN,59088-380,-35.2048085,-5.8752523
Travessa Teofilândia,,Neópolis,Natal,RN,59088-382,-35.2048085,-5.8752523
Rua Teolândia,,Neópolis,Natal,RN,59088-360,-35.2060111,-5.8748165
Rua Teotônio Freire,,Ribeira,Natal,RN,59012-110,-35.2013386,-5.7774906
Rua Teotônio Freire,,Rocas,Natal,RN,59012-141,-35.2007456,-5.7773612
Travessa Teotônio Vilela,,Ponta Negra,Natal,RN,59090-462,-35.1741514,-5.882305
Rua Teresópolis,,Potengi,Natal,RN,59110-190,-35.2511306,-5.758487
Rua Tereza Alves Fernandes,,Nossa Senhora da Apresentação,Natal,RN,59115-524,-35.2818707,-5.748768399999999
Rua Tereza Bezerra Salustino,,Lagoa Nova,Natal,RN,59075-225,-35.2045011,-5.8239187
Rua Tereza Campos,,Lagoa Nova,Natal,RN,59062-530,-35.2181328,-5.820713599999999
Rua Terezina,,Cidade da Esperança,Natal,RN,59070-440,-35.238074,-5.8297907
Rua Terezinha Campelo,,Lagoa Azul,Natal,RN,59138-607,-35.2579032,-5.7279604
Rua Terra Branca,,Pajuçara,Natal,RN,59132-810,-35.2420168,-5.723369099999999
Rua Terra,,Igapó,Natal,RN,59106-230,-35.2685547,-5.767074399999999
Rua Terra de Areia,,Pajuçara,Natal,RN,59131-650,-35.24747540000001,-5.727186
2ª Travessa Teófilo Brandão,,Petrópolis,Natal,RN,59014-136,-35.1913972,-5.7876977
3ª Travessa Teófilo Brandão,,Petrópolis,Natal,RN,59014-137,-35.19303,-5.7865334
Rua Teófilo Brandão,,Areia Preta,Natal,RN,59014-130,-35.1926441,-5.786874399999999
Travessa Teófilo Brandão,,Petrópolis,Natal,RN,59014-135,-35.1931528,-5.7867294
Rua Teófilo Liberato,,Redinha,Natal,RN,59122-017,-35.2050643,-5.7448939
Rua Teófilo Otoni,,Neópolis,Natal,RN,59088-630,-35.2118841,-5.873307899999999
Rua Thaynara Barreto,,Lagoa Azul,Natal,RN,59133-450,-35.2428423,-5.722281600000001
Rua Themístocles Duarte,,Nova Descoberta,Natal,RN,59075-420,-35.1941392,-5.8272271
Rua Themístocles Duarte 3003,,Nova Descoberta,Natal,RN,59075-901,-35.1933573,-5.8282689
Rua Theodorico Bezerra,,Lagoa Azul,Natal,RN,59138-603,-35.2604196,-5.7281122
Rua Theodorico Guilherme,,Nova Descoberta,Natal,RN,59056-410,-35.1985532,-5.817161
Rua Thiago Queiroz,,Planalto,Natal,RN,59073-179,-35.2626261,-5.8580388
Rua Tia Joana,,Lagoa Azul,Natal,RN,59139-483,-35.27009260000001,-5.722985
Rua Tiago Avico,,Candelária,Natal,RN,59065-380,-35.2221609,-5.840228
Rua Tianguá,,Pitimbu,Natal,RN,59069-370,-40.9926511,-3.7300232
Rua Tibaji,,Pajuçara,Natal,RN,59131-660,-35.2482295,-5.732603200000001
Rua Tibiriçá,,Felipe Camarão,Natal,RN,59074-050,-35.2566382,-5.8229621
Travessa Tibiriçá,,Felipe Camarão,Natal,RN,59074-051,-35.2566382,-5.8229621
Vila Tibúrcio,,Quintas,Natal,RN,59035-248,-35.2234916,-5.8062032
Rua Tietê,,Potengi,Natal,RN,59129-330,-35.2579947,-5.7425584
Rua Tijuana,,Lagoa Azul,Natal,RN,59139-350,-35.2688651,-5.7310835
Rua Tijucas,,Potengi,Natal,RN,59110-400,-35.2543673,-5.753416
Rua Tilápia,,Ponta Negra,Natal,RN,59090-750,-35.1757931,-5.8831827
Rua Timbaúba,,Cidade da Esperança,Natal,RN,59070-380,-35.23736,-5.8273632
Rua Timbó,,Pajuçara,Natal,RN,59133-113,-35.231392,-5.7390913
Rua Timon,,Pajuçara,Natal,RN,59131-670,-35.2490078,-5.7324815
Rua Timoneiros,,Nossa Senhora da Apresentação,Natal,RN,59115-310,-35.2625001,-5.7468508
Rua Tino Luciano de Brito,,Lagoa Azul,Natal,RN,59139-515,-35.2722183,-5.7295736
Rua Tiradentes,,Nossa Senhora de Nazaré,Natal,RN,59060-370,-35.2348432,-5.8170781
Rua Tiradentes,,Guarapes,Natal,RN,59074-757,-35.275824,-5.8385298
Travessa Tiradentes,,Nossa Senhora de Nazaré,Natal,RN,59060-375,-35.2335981,-5.8175267
Travessa Tiradentes,,Igapó,Natal,RN,59106-013,-35.268015,-5.769151
Vila Tiradentes,,Igapó,Natal,RN,59106-012,-35.268015,-5.769151
Rua Tivoli,,Ponta Negra,Natal,RN,59090-176,-35.17453930000001,-5.879091499999999
Rua Tobias Barreto,,Igapó,Natal,RN,59104-410,-35.2529748,-5.7709246
Rua Tocantins,,Alecrim,Natal,RN,59040-060,-35.2129393,-5.7921941
Avenida Tocantínea,,Pajuçara,Natal,RN,59131-000,-35.2485163,-5.7278357
Travessa Tocantínea,,Pajuçara,Natal,RN,59131-001,-35.2475048,-5.7200793
Rua Todos os Santos,,Felipe Camarão,Natal,RN,59072-430,-35.24864420000001,-5.831001199999999
Travessa Todos os Santos,,Felipe Camarão,Natal,RN,59072-431,-35.2496329,-5.832467299999999
Travessa Toinho do Padeiro,,Alecrim,Natal,RN,59040-116,-35.2014856,-5.7992326
Rua Tom Jobim,,Pajuçara,Natal,RN,59122-502,-35.2377045,-5.7489352
Rua Tom Jobim,,Pajuçara,Natal,RN,59123-010,-35.2377045,-5.7489352
Travessa Tom Jobim,,Nossa Senhora da Apresentação,Natal,RN,59115-509,-35.2377045,-5.7489352
Rua Tomaz Pereira,,Lagoa Nova,Natal,RN,59056-210,-35.2090659,-5.8188923
Rua Tomaz Xavier,7,Quintas,Natal,RN,59042-020,-35.23456,-5.7980219
Rua Tomaz Xavier,9,Quintas,Natal,RN,59035-340,-35.2345866,-5.7980081
Praça Tomaz de Araújo,,Cidade Alta,Natal,RN,59025-080,-35.20690430000001,-5.7844427
Rua Tomé de Souza,,Nordeste,Natal,RN,59042-160,-35.2400923,-5.7976569
Alameda Tonelero,,Alecrim,Natal,RN,59030-150,-35.2175944,-5.7978694
Rua Tonheca Dantas,,Bom Pastor,Natal,RN,59062-020,-35.2370251,-5.8129013
Rua Toritama,,Pajuçara,Natal,RN,59131-110,-35.2453204,-5.730332
