cep,longitude,latitude
59092-570,-35.182826482255805,-5.8914846508481835
59042-110,-35.239147096007216,-5.799338547633914
59066-080,-35.21887179625777,-5.8499804215056725
59074-396,-35.25112112462414,-5.829118352505777
59080-015,-35.209314683996396,-5.853217591961224
59073-077,-35.250869926647674,-5.843879972046187
59139-625,-35.27465491801252,-5.7260349605819325
59015-060,-35.19791789498842,-5.799424211963987
59090-618,-35.17826491742313,-5.875894965546153
59035-220,-35.23436907830654,-5.812564339478628
59012-010,-35.203427547023175,-5.776333107026186
59037-155,-35.22413991169266,-5.797099962736063
59030-356,-35.21385493931073,-5.795894959380803
59030-350,-35.213877392983925,-5.797365870679878
59031-350,-35.213877392983925,-5.797365870679878
59022-350,-35.20936112743364,-5.804076758616168
59015-350,-35.20505759323273,-5.80655940757008
59030-660,-35.209283711479436,-5.803930209709576
59030-355,-35.21385493931073,-5.795894959380803
59040-140,-35.21727843791521,-5.791716114163965
59010-110,-35.196622385394775,-5.779108550106254
59037-080,-35.22504604337608,-5.797372239110613
59040-170,-35.20930999999996,-5.7911099999999465
59030-020,-35.20930999999996,-5.7911099999999465
59022-600,-35.20562695321486,-5.802255869566437
59054-560,-35.21744989567319,-5.812019959935932
59054-565,-35.21744989567319,-5.812019959935932
59015-100,-35.19888583902861,-5.7989827691045575
59054-520,-35.21801300514761,-5.815630651277491
59030-230,-35.20814395899071,-5.793496526126722
59115-601,-35.28711999999996,-5.727389999999957
59069-210,-35.24309491517167,-5.8439599773119895
59010-120,-35.19844748098317,-5.779515287943858
59010-125,-35.19743264870639,-5.779011602425048
59122-272,-35.23381350517256,-5.75578014550829
59123-023,-35.237714948708984,-5.7489149578609124
59112-600,-35.25893217268729,-5.757493029461416
59110-600,-35.258931531831024,-5.757492214358599
59090-177,-35.17515299131236,-5.878392419131112
59091-070,-35.201164908825625,-5.874469804493276
59084-460,-35.19800308586575,-5.870628363967987
59131-260,-35.24479493277372,-5.726254964585537
59086-375,-35.2160911510597,-5.8686989718290175
59124-270,-35.25025640973718,-5.743603514448577
59124-450,-35.242114903052396,-5.749929964425945
59014-360,-35.188200084813296,-5.7941981035812224
59042-250,-35.24250842731141,-5.7975434321000385
59042-251,-35.24122877644044,-5.795270524453103
59090-310,-35.168613330591,-5.886048123682264
59123-305,-35.24714921254944,-5.739808468042938
59123-515,-35.24714921254944,-5.739808468042938
59090-309,-35.168613330591,-5.886048123682264
59014-440,-35.19013873590682,-5.794867694032644
59133-092,-35.233349310062366,-5.7292918833780595
59122-205,-35.21246492639765,-5.740319965751986
59122-274,-35.234144928508506,-5.756484968940022
59115-200,-35.28283485335244,-5.761051899559653
59132-650,-35.24523489887137,-5.7348949465597485
59122-036,-35.234668520755726,-5.753107250192111
59123-300,-35.23708492295682,-5.7458299564876745
59123-325,-35.21246492639765,-5.740319965751986
59068-740,-35.23363991884219,-5.85624996379775
59122-044,-35.23372870167536,-5.75424635650787
59122-039,-35.23463992180053,-5.753844941851611
59122-038,-35.23505077419085,-5.753880504353693
59073-214,-35.252644920373626,-5.849914963287263
59115-210,-35.283434919679266,-5.761304961406302
59014-320,-35.18983968020519,-5.792469740651926
59042-270,-35.24607489129811,-5.795204961111393
59014-325,-35.18970676908939,-5.791674108631223
59056-170,-35.20788024966474,-5.815850766725045
59050-123,-35.232399999999984,-5.802709999999934
59042-370,-35.24487093146718,-5.795662968142265
59042-372,-35.244389919212274,-5.7950849741674455
59037-012,-35.215159917816116,-5.803014946078428
59035-149,-35.215159917816116,-5.803014946078428
59104-213,-35.254762159413644,-5.773657503678267
59104-215,-35.254727493870384,-5.773547724615011
59104-210,-35.26057464881526,-5.77179489352788
59123-343,-35.24851522103233,-5.7213455047665285
59104-216,-35.26057464881526,-5.77179489352788
59084-040,-35.199489907920125,-5.8678699428531695
59115-230,-35.28454275616599,-5.761334337027132
59114-179,-35.2814266241732,-5.736645748030147
59139-522,-35.27751999999997,-5.7226499999999305
59022-320,-35.210754892421306,-5.808964944821298
59073-072,-35.24530492967243,-5.841039973702762
59035-040,-35.235123008290664,-5.798627278020575
59035-045,-35.235123008290664,-5.798627278020575
59080-430,-35.210954926540595,-5.857069965385399
59069-190,-35.24334989266626,-5.8444749614430975
59123-012,-35.236819999999966,-5.736699999999927
59078-152,-35.2070399072054,-5.843704957907883
59080-130,-35.2095599263951,-5.85486495907179
59115-430,-35.26290491468409,-5.748659959411563
59031-450,-35.2167357071178,-5.794290834744188
59040-450,-35.2167357071178,-5.794290834744188
59125-355,-35.22897217363878,-5.746416589471236
59054-730,-35.21353491824751,-5.813524951605835
59056-270,-35.20257486631783,-5.814474977821839
59080-120,-35.210189810110954,-5.854899603178568
59114-033,-35.276539882308114,-5.7555049568207455
59062-250,-35.23631606427601,-5.8102861409569915
59075-250,-35.200144400368124,-5.82390299659292
59062-350,-35.22092461857047,-5.816182782833692
59054-465,-35.211155751558024,-5.819659630934908
59054-830,-35.21125511282719,-5.819621939702022
59063-350,-35.211255272572,-5.819621879105184
59056-215,-35.20819044296275,-5.820765793410272
59075-810,-35.210521439042076,-5.82014570583005
59056-265,-35.20556724676618,-5.821823043598918
59075-015,-35.20563685038832,-5.821919171375448
59054-145,-35.22894430876707,-5.8130861799929185
59062-195,-35.228699348286774,-5.813298077823558
59062-255,-35.23464490903291,-5.811569956509197
59060-250,-35.23464490903291,-5.811569956509197
59054-475,-35.216237035156155,-5.817092577818235
59062-198,-35.23464490903291,-5.811569956509197
59075-255,-35.198749703765024,-5.82475739135014
59084-050,-35.19904491268053,-5.868249957388388
59124-680,-35.241644887831825,-5.750944950036214
59022-160,-35.200729999999965,-5.8005699999999365
59090-657,-35.172741054298704,-5.884203851695848
59139-410,-35.269272660497506,-5.727832644501245
59066-480,-35.23650123494483,-5.8094558434392365
59082-060,-35.202570016299624,-5.85836687772066
59037-050,-35.22412989531836,-5.796499965152003
59065-120,-35.21751992647421,-5.838004970381968
59114-061,-35.265584902495874,-5.759029966201183
59115-539,-35.27516990214362,-5.7461799638095234
59114-007,-35.2734549228444,-5.748234975965808
59037-040,-35.22245992683921,-5.799904945678967
59030-340,-35.209493354529684,-5.794654365156847
59114-005,-35.27401994693746,-5.746159972970446
59012-230,-35.199949990585424,-5.781939991648287
59020-040,-35.20000003054738,-5.782089985805613
59037-220,-35.200199897028604,-5.78224494624056
59074-846,-35.28155999999996,-5.836029999999938
59090-010,-35.181894910140855,-5.866254959658837
59090-655,-35.173789567732484,-5.884342996153448
59114-531,-35.28711999999996,-5.727389999999957
59072-772,-35.24994494172275,-5.832109956923922
59069-180,-35.24359992483799,-5.8449849583418025
59114-030,-35.265416082053534,-5.756252409130505
59073-224,-35.25500897895483,-5.845871163200054
59132-640,-35.2451753384654,-5.733649012164133
59066-100,-35.218058696583554,-5.8506737634343695
59035-026,-35.2358066814714,-5.801228179779876
59084-150,-35.199572608185846,-5.868723358441424
59114-181,-35.275186550810645,-5.739523152393618
59025-580,-35.209239999999966,-5.785049999999956
59075-030,-35.207845472116986,-5.823142218100865
59136-040,-35.25237988459523,-5.7245549469834875
59112-330,-35.260884917928315,-5.752979971353419
59063-330,-35.21664801481225,-5.825470940364991
59073-018,-35.252869999999966,-5.851879999999938
59127-321,-35.252790829246976,-5.756963579263783
59127-320,-35.25266936208752,-5.756937534265185
59110-620,-35.25266936208752,-5.756937534265185
59032-572,-35.21862491276981,-5.805159958920051
59092-557,-35.24847056011774,-5.763327161214619
59071-410,-35.240618462521155,-5.821097543454957
59065-320,-43.96622044802567,-19.811518991205684
59115-569,-35.27494991909478,-5.746509959337537
59139-755,-35.26784927200864,-5.715252793255954
59112-290,-35.26174739170396,-5.752597886810168
59066-430,-35.228577181668136,-5.8563817738025
59066-842,-35.228577181668136,-5.8563817738025
59064-590,-35.21391598162496,-5.840957970593616
59124-120,-35.24596990796084,-5.748659959411555
59090-576,-35.17613499820321,-5.890096991925316
59064-746,-35.2133699204835,-5.844674974607612
59056-190,-35.20880662659939,-5.8183567766076205
59114-259,-35.276619540498274,-5.733775936146741
59114-266,-35.28006694149754,-5.732912660075753
59114-859,-35.276188369208256,-5.735530931345508
59114-854,-35.27609089259211,-5.735591479749067
59114-851,-35.27616781565057,-5.73549784226081
59114-121,-35.275498618218954,-5.735149378224013
59060-541,-35.22762489748543,-5.821339965714762
59139-370,-35.27045037703135,-5.733615961105832
59114-053,-35.28032992746697,-5.770649966211367
59114-141,-35.28032992746697,-5.770649966211367
59114-134,-35.28032992746697,-5.770649966211367
59139-545,-35.27349490452255,-5.726449969562907
59054-470,-35.22193489641948,-5.815005835949749
59114-169,-35.28032992746697,-5.770649966211367
59078-260,-35.205486805368125,-5.845487653247117
59050-202,-35.23352480670989,-5.805290035312675
59050-203,-35.233555828548454,-5.805427674529803
59050-204,-35.233518344496034,-5.8052897656777045
59050-205,-35.23354983932483,-5.805430826335614
59056-285,-35.22433157632028,-5.8086744998058215
59056-005,-35.208638780722715,-5.814539733188255
59054-735,-35.21050193090852,-5.8138371531081425
59052-465,-35.226263145421036,-5.8080095541381125
59050-005,-35.23248054293898,-5.805847327331184
59052-475,-35.22622674029125,-5.807900338748733
59054-605,-35.218792437904945,-5.8105523513288615
59054-725,-35.212936874556085,-5.812742375313122
59056-015,-35.22446540927288,-5.808632100860051
59056-275,-35.20272858126483,-5.816499502475858
59056-425,-35.20039486524458,-5.817368493389428
59050-000,-35.2304227418934,-5.806398090947281
59052-000,-35.23165776345632,-5.806154748068862
59054-380,-35.210228172884676,-5.8139370988262735
59056-901,-35.209469988574035,-5.814269998024344
59056-500,-35.20040839215473,-5.817657402544657
59052-477,-35.21533991918682,-5.8117049680145945
59056-385,-35.21533991918682,-5.8117049680145945
59139-520,-35.27253584722377,-5.729206814883572
59075-610,-35.21268422547197,-5.809189236685017
59074-330,-35.260154224719514,-5.825438300817141
59074-578,-35.268729868603174,-5.830783673990651
59090-303,-35.16964244735683,-5.893139610485507
59022-220,-35.207553460197396,-5.807368580822389
59114-059,-35.26766491367839,-5.762079952173908
59064-170,-35.22439488918725,-5.824984962039152
59082-110,-35.19897201221836,-5.860661476971762
59139-535,-35.273629936982715,-5.728384952865717
59125-115,-35.23948491329304,-5.751039958908706
59073-180,-35.244469924478075,-5.844274969233326
59014-216,-35.19128614665475,-5.787717696811288
59014-210,-35.190502242239674,-5.789773898183353
59014-215,-35.191404016264634,-5.7880028143425575
59104-080,-35.25284810739097,-5.773094253754388
59032-080,-35.21393087038243,-5.808838379673067
59032-085,-35.21393087038243,-5.808838379673067
59104-272,-35.26168492867688,-5.768424969058678
